[DRIVER]: NOR [PRED]: [[1.77]] [BIAS]: [10.24168421]
---                                 Input Value  Feature Score
driverId_832.0-strt_len_median     -0.229416      -0.166851
driverId_864.0-num_fast_corners    -0.229416      -0.159504
driverId_860.0-strt_len_min        -0.229416      -0.104318
driverId_860.0-num_fast_corners    -0.229416      -0.077589
driverId_848.0-num_slow_corners    -0.229416      -0.068922
driverId_840.0-strt_len_min        -0.229416      -0.061349
driverId_832.0-strt_len_min        -0.229416      -0.056922
driverId_862.0-num_fast_corners    -0.229416      -0.053732
driverId_807.0-num_slow_corners    -0.229416      -0.041709
driverId_807.0-corner_spd_min      -0.229416      -0.040734
driverId_807.0-strt_len_min        -0.229416      -0.036541
driverId_861.0-num_med_corners     -0.229416      -0.028650
driverId_840.0-num_fast_corners    -0.229416      -0.023588
driverId_864.0-strt_len_min        -0.229416      -0.020147
driverId_839.0-num_slow_corners    -0.229416      -0.014286
driverId_842.0-num_slow_corners    -0.229416      -0.014283
driverId_839.0-strt_len_min        -0.229416      -0.012582
driverId_842.0-strt_len_min        -0.229416      -0.006232
driverId_4.0-num_fast_corners      -0.229416       0.001012
driverId_842.0-num_fast_corners    -0.229416       0.007382
driverId_852.0-strt_len_min         4.358899       0.007818
driverId_848.0-num_fast_corners    -0.229416       0.022656
driverId_840.0-num_slow_corners    -0.229416       0.047587
driverId_1.0-strt_len_min          -0.229416       0.063914
driverId_862.0-strt_len_min        -0.229416       0.065733
driverId_4.0-num_slow_corners      -0.229416       0.095692
driverId_864.0-num_slow_corners    -0.229416       0.140694
prev_construct_points_prop          0.238583       0.712735
prev_driver_points_prop            -0.857664       1.315487

[DRIVER]: ALB [PRED]: [[8.49]] [BIAS]: [10.24168421]
---                                 Input Value  Feature Score
driverId_848.0-num_fast_corners     4.358899      -2.616128
driverId_848.0-num_slow_corners     4.358899      -0.815547
prev_construct_points_prop         -0.498612      -0.745975
driverId_852.0-num_slow_corners    -0.229416      -0.113417
driverId_807.0-corner_spd_min      -0.229416      -0.108581
driverId_861.0-num_med_corners     -0.229416      -0.082986
driverId_839.0-num_slow_corners    -0.229416      -0.073354
driverId_807.0-num_slow_corners    -0.229416      -0.067969
driverId_807.0-strt_len_min        -0.229416      -0.062156
driverId_832.0-strt_len_median     -0.229416      -0.059045
driverId_839.0-strt_len_min        -0.229416      -0.034944
driverId_852.0-strt_len_min        -0.229416      -0.034222
driverId_840.0-strt_len_min        -0.229416      -0.033229
driverId_860.0-strt_len_min        -0.229416      -0.032145
driverId_842.0-num_slow_corners    -0.229416      -0.023897
driverId_832.0-strt_len_min        -0.229416      -0.020167
driverId_860.0-num_fast_corners    -0.229416      -0.016780
driverId_840.0-num_fast_corners    -0.229416      -0.013667
driverId_864.0-num_fast_corners    -0.229416      -0.008561
driverId_1.0-num_med_corners       -0.229416      -0.005385
driverId_862.0-num_fast_corners    -0.229416      -0.001311
driverId_864.0-strt_len_min        -0.229416       0.008402
