[DRIVER]: NOR [PRED]: [[1.73]] [BIAS]: [10.22589474]
---                                 Input Value  Feature Score
driverId_839.0-num_slow_corners    -0.229416      -0.004910
driverId_4.0-num_fast_corners      -0.229416      -0.004380
driverId_860.0-strt_len_min        -0.229416      -0.003562
driverId_840.0-num_fast_corners    -0.229416      -0.002035
driverId_864.0-strt_len_min        -0.229416       0.004492
driverId_864.0-num_fast_corners    -0.229416       0.009559
driverId_842.0-strt_len_min        -0.229416       0.009953
driverId_862.0-num_fast_corners    -0.229416       0.012726
driverId_864.0-num_slow_corners    -0.229416       0.021032
driverId_862.0-strt_len_min        -0.229416       0.045243
driverId_840.0-num_slow_corners    -0.229416       0.077921
driverId_1.0-strt_len_min          -0.229416       0.094362
driverId_4.0-num_slow_corners      -0.229416       0.137565
driverId_848.0-num_fast_corners    -0.229416       0.173757
driverId_807.0-strt_len_min         4.358899       0.243187
driverId_807.0-num_slow_corners     4.358899       0.773507
driverId_807.0-corner_spd_min       4.358899       1.265231
prev_driver_points_prop            -0.455754       4.236319

[DRIVER]: OCO [PRED]: [[13.49]] [BIAS]: [10.22589474]
---                                 Input Value  Feature Score
driverId_839.0-strt_len_min         4.358899      -0.210490
driverId_807.0-corner_spd_min      -0.229416      -0.163846
driverId_848.0-num_slow_corners    -0.229416      -0.126907
driverId_852.0-num_slow_corners    -0.229416      -0.114860
driverId_807.0-num_slow_corners    -0.229416      -0.104301
driverId_807.0-strt_len_min        -0.229416      -0.083210
driverId_842.0-num_slow_corners    -0.229416      -0.069278
driverId_840.0-strt_len_min        -0.229416      -0.068313
driverId_832.0-strt_len_median     -0.229416      -0.060818
driverId_860.0-num_fast_corners    -0.229416      -0.044433
driverId_832.0-strt_len_min        -0.229416      -0.044380
driverId_861.0-num_med_corners     -0.229416      -0.043264
driverId_840.0-num_fast_corners    -0.229416      -0.030175
driverId_852.0-strt_len_min        -0.229416      -0.025578
driverId_852.0-num_fast_corners    -0.229416      -0.014366
driverId_864.0-num_fast_corners    -0.229416      -0.011931
driverId_860.0-strt_len_min        -0.229416      -0.011106
driverId_862.0-num_fast_corners    -0.229416      -0.009837
driverId_864.0-strt_len_min        -0.229416       0.005586
driverId_4.0-num_fast_corners      -0.229416       0.020686
driverId_864.0-num_slow_corners    -0.229416       0.027162
driverId_839.0-num_slow_corners     4.358899       0.029115
driverId_1.0-strt_len_min          -0.229416       0.063749
driverId_862.0-strt_len_min        -0.229416       0.064460
driverId_842.0-num_fast_corners    -0.229416       0.071147
driverId_840.0-num_slow_corners    -0.229416       0.074892
driverId_842.0-strt_len_min        -0.229416       0.101421
driverId_848.0-num_fast_corners    -0.229416       0.111049
driverId_4.0-num_slow_corners      -0.229416       0.177021
prev_construct_points_prop         -0.753280       0.843358
prev_driver_points_prop            -0.626261       2.911551

[DRIVER]: BEA [PRED]: [[12.73]] [BIAS]: [10.22589474]
---                                 Input Value  Feature Score
driverId_852.0-num_slow_corners    -0.229416      -0.213219
driverId_840.0-strt_len_min        -0.229416      -0.158132
driverId_832.0-strt_len_median     -0.229416      -0.097340
driverId_852.0-strt_len_min        -0.229416      -0.069824
driverId_864.0-num_fast_corners    -0.229416      -0.069819
driverId_807.0-num_slow_corners    -0.229416      -0.056302
driverId_832.0-strt_len_min        -0.229416      -0.055176
driverId_807.0-strt_len_min        -0.229416      -0.054577
driverId_807.0-corner_spd_min      -0.229416      -0.041761
driverId_842.0-num_slow_corners    -0.229416      -0.037213
driverId_839.0-strt_len_min        -0.229416      -0.033485
driverId_840.0-num_fast_corners    -0.229416      -0.032791
driverId_861.0-num_med_corners     -0.229416      -0.032783
driverId_848.0-num_slow_corners    -0.229416      -0.031080
driverId_839.0-num_slow_corners    -0.229416      -0.031014
prev_construct_points_prop         -0.753280      -0.030344
driverId_852.0-num_fast_corners    -0.229416      -0.021280
driverId_864.0-strt_len_min        -0.229416      -0.009453
driverId_862.0-num_fast_corners    -0.229416      -0.007371
driverId_842.0-num_fast_corners    -0.229416       0.016205
driverId_4.0-num_fast_corners      -0.229416       0.017155
driverId_842.0-strt_len_min        -0.229416       0.020056
driverId_848.0-num_fast_corners    -0.229416       0.027246
driverId_1.0-strt_len_min          -0.229416       0.048272
driverId_840.0-num_slow_corners    -0.229416       0.049587
