driverId_857.0-num_fast_corners    -0.229416       0.010824
driverId_864.0-num_slow_corners    -0.229416       0.012997
driverId_807.0-num_fast_corners    -0.229416       0.013762
driverId_830.0-num_med_corners     -0.229416       0.022299
driverId_4.0-num_slow_corners      -0.229416       0.027385
driverId_844.0-num_slow_corners    -0.229416       0.041881
driverId_844.0-num_med_corners     -0.229416       0.043788
driverId_830.0-num_fast_corners    -0.229416       0.048597
driverId_861.0-num_med_corners     -0.229416       0.052287
driverId_847.0-num_med_corners     -0.229416       0.302300
driverId_844.0-strt_len_median     -0.229416       0.411221
prev_driver_wins                   -0.410152       1.167377

[DRIVER]: ALO [PRED]: [[14.9]] [BIAS]: [10.42827338]
---                                 Input Value  Feature Score
driverId_859.0-num_fast_corners    -0.229416      -0.166834
driverId_860.0-num_slow_corners    -0.229416      -0.103414
driverId_832.0-strt_len_min        -0.229416      -0.075666
driverId_852.0-strt_len_min        -0.229416      -0.073106
driverId_832.0-strt_len_median     -0.229416      -0.065560
driverId_839.0-num_slow_corners    -0.229416      -0.059843
driverId_848.0-num_med_corners     -0.229416      -0.055324
driverId_852.0-num_slow_corners    -0.229416      -0.040992
driverId_861.0-strt_len_min        -0.229416      -0.038641
driverId_842.0-num_slow_corners    -0.229416      -0.036065
driverId_859.0-num_med_corners     -0.229416      -0.032376
driverId_861.0-num_fast_corners    -0.229416      -0.009066
driverId_830.0-strt_len_min        -0.229416      -0.003412
driverId_832.0-num_fast_corners    -0.229416      -0.001931
driverId_846.0-num_slow_corners    -0.229416      -0.001823
driverId_846.0-strt_len_min        -0.229416       0.001179
driverId_844.0-num_med_corners     -0.229416       0.008172
driverId_861.0-num_med_corners     -0.229416       0.009462
driverId_830.0-num_fast_corners    -0.229416       0.012742
driverId_1.0-num_fast_corners      -0.229416       0.018020
driverId_847.0-num_med_corners     -0.229416       0.025085
driverId_860.0-num_fast_corners    -0.229416       0.027656
driverId_848.0-strt_len_min        -0.229416       0.037782
driverId_1.0-strt_len_min          -0.229416       0.044065
driverId_4.0-num_slow_corners       4.358899       0.055547
driverId_830.0-num_med_corners     -0.229416       0.061499
driverId_844.0-strt_len_median     -0.229416       0.087144
driverId_848.0-num_fast_corners    -0.229416       0.090241
driverId_842.0-num_fast_corners    -0.229416       0.097805
driverId_864.0-num_slow_corners    -0.229416       0.131241
driverId_840.0-strt_len_min        -0.229416       0.145408
driverId_807.0-num_fast_corners    -0.229416       0.155360
prev_driver_wins                   -0.410152       0.368400
driverId_4.0-num_fast_corners       4.358899       1.193357
prev_construct_position             0.870388       2.665615

